problem_type,x,y,question,solution
gcd,120,287,What is the GCD of 120 and 287?,1
multiplication,218,988,What is 218 times 988 mod 1000?,384
gcd,22,845,What is the GCD of 22 and 845?,1
bitwise_xor,791,747,What is 791 XOR 747?,508
square_mod,960,50,What is 960^2 mod 50?,0
modulo,655,470,What is 655 mod 470?,185
multiplication,267,202,What is 267 times 202 mod 1000?,934
gcd,213,57,What is the GCD of 213 and 57?,3
addition,353,899,What is 353 plus 899?,1252
lcm,969,767,What is the LCM of 969 and 767 mod 1000?,223
bitwise_xor,722,514,What is 722 XOR 514?,208
multiplication,981,761,What is 981 times 761 mod 1000?,541
bitwise_or,839,827,What is 839 OR 827?,895
lcm,913,434,What is the LCM of 913 and 434 mod 1000?,242
division,357,354,What is 357 // 354?,1
division,762,499,What is 762 // 499?,1
multiplication,417,198,What is 417 times 198 mod 1000?,566
division,890,201,What is 890 // 201?,4
bitwise_and,662,162,What is 662 AND 162?,130
bitwise_or,834,366,What is 834 OR 366?,878
multiplication,936,529,What is 936 times 529 mod 1000?,144
gcd,971,463,What is the GCD of 971 and 463?,1
modulo,608,217,What is 608 mod 217?,174
bitwise_or,81,658,What is 81 OR 658?,723
bitwise_or,407,280,What is 407 OR 280?,415
bitwise_or,193,542,What is 193 OR 542?,735
bitwise_or,679,578,What is 679 OR 578?,743
bitwise_or,416,599,What is 416 OR 599?,1015
addition,451,772,What is 451 plus 772?,1223
lcm,610,122,What is the LCM of 610 and 122 mod 1000?,610
bitwise_or,873,756,What is 873 OR 756?,1021
multiplication,221,889,What is 221 times 889 mod 1000?,469
modulo,943,566,What is 943 mod 566?,377
square_mod,317,282,What is 317^2 mod 282?,97
gcd,241,774,What is the GCD of 241 and 774?,1
bitwise_or,84,328,What is 84 OR 328?,348
lcm,773,530,What is the LCM of 773 and 530 mod 1000?,690
multiplication,25,861,What is 25 times 861 mod 1000?,525
bitwise_or,276,976,What is 276 OR 976?,980
bitwise_and,4,219,What is 4 AND 219?,0
bitwise_xor,217,211,What is 217 XOR 211?,10
gcd,901,381,What is the GCD of 901 and 381?,1
square_mod,327,298,What is 327^2 mod 298?,245
bitwise_and,436,29,What is 436 AND 29?,20
multiplication,680,495,What is 680 times 495 mod 1000?,600
division,853,467,What is 853 // 467?,1
division,531,133,What is 531 // 133?,3
square_mod,963,926,What is 963^2 mod 926?,443
square_mod,278,200,What is 278^2 mod 200?,84
addition,62,713,What is 62 plus 713?,775
multiplication,150,84,What is 150 times 84 mod 1000?,600
addition,436,255,What is 436 plus 255?,691
modulo,632,206,What is 632 mod 206?,14
multiplication,259,578,What is 259 times 578 mod 1000?,702
bitwise_and,712,348,What is 712 AND 348?,72
lcm,493,738,What is the LCM of 493 and 738 mod 1000?,834
bitwise_xor,640,717,What is 640 XOR 717?,77
division,903,120,What is 903 // 120?,7
division,815,799,What is 815 // 799?,1
bitwise_xor,719,219,What is 719 XOR 219?,532
addition,689,995,What is 689 plus 995?,1684
lcm,593,256,What is the LCM of 593 and 256 mod 1000?,808
gcd,471,12,What is the GCD of 471 and 12?,3
lcm,487,730,What is the LCM of 487 and 730 mod 1000?,510
square_mod,599,416,What is 599^2 mod 416?,209
modulo,393,335,What is 393 mod 335?,58
addition,897,560,What is 897 plus 560?,1457
gcd,175,78,What is the GCD of 175 and 78?,1
bitwise_xor,815,632,What is 815 XOR 632?,343
addition,621,397,What is 621 plus 397?,1018
addition,504,650,What is 504 plus 650?,1154
bitwise_or,906,113,What is 906 OR 113?,1019
bitwise_and,884,817,What is 884 AND 817?,816
gcd,591,121,What is the GCD of 591 and 121?,1
bitwise_xor,892,432,What is 892 XOR 432?,716
bitwise_and,831,790,What is 831 AND 790?,790
multiplication,873,839,What is 873 times 839 mod 1000?,447
addition,979,843,What is 979 plus 843?,1822
bitwise_and,935,766,What is 935 AND 766?,678
division,990,108,What is 990 // 108?,9
square_mod,649,69,What is 649^2 mod 69?,25
lcm,655,57,What is the LCM of 655 and 57 mod 1000?,335
bitwise_xor,55,117,What is 55 XOR 117?,66
bitwise_or,307,355,What is 307 OR 355?,371
gcd,924,396,What is the GCD of 924 and 396?,132
modulo,799,751,What is 799 mod 751?,48
multiplication,274,799,What is 274 times 799 mod 1000?,926
square_mod,659,109,What is 659^2 mod 109?,25
modulo,797,35,What is 797 mod 35?,27
gcd,701,869,What is the GCD of 701 and 869?,1
bitwise_or,959,63,What is 959 OR 63?,959
bitwise_or,793,329,What is 793 OR 329?,857
multiplication,160,831,What is 160 times 831 mod 1000?,960
square_mod,858,509,What is 858^2 mod 509?,150
bitwise_or,499,65,What is 499 OR 65?,499
modulo,865,499,What is 865 mod 499?,366
bitwise_xor,224,517,What is 224 XOR 517?,741
bitwise_and,773,195,What is 773 AND 195?,1
bitwise_xor,251,827,What is 251 XOR 827?,960
gcd,474,425,What is the GCD of 474 and 425?,1
bitwise_or,528,331,What is 528 OR 331?,859
addition,271,37,What is 271 plus 37?,308
bitwise_and,233,787,What is 233 AND 787?,1
addition,198,837,What is 198 plus 837?,1035
square_mod,620,350,What is 620^2 mod 350?,100
multiplication,956,755,What is 956 times 755 mod 1000?,780
modulo,510,479,What is 510 mod 479?,31
bitwise_and,619,394,What is 619 AND 394?,10
modulo,671,476,What is 671 mod 476?,195
division,553,499,What is 553 // 499?,1
gcd,815,122,What is the GCD of 815 and 122?,1
division,760,751,What is 760 // 751?,1
addition,801,377,What is 801 plus 377?,1178
bitwise_or,527,75,What is 527 OR 75?,591
lcm,218,607,What is the LCM of 218 and 607 mod 1000?,326
bitwise_or,485,151,What is 485 OR 151?,503
gcd,262,90,What is the GCD of 262 and 90?,2
division,839,15,What is 839 // 15?,55
bitwise_or,232,115,What is 232 OR 115?,251
lcm,495,332,What is the LCM of 495 and 332 mod 1000?,340
lcm,760,858,What is the LCM of 760 and 858 mod 1000?,40
square_mod,866,311,What is 866^2 mod 311?,135
bitwise_or,884,377,What is 884 OR 377?,893
modulo,691,251,What is 691 mod 251?,189
lcm,77,86,What is the LCM of 77 and 86 mod 1000?,622
addition,416,234,What is 416 plus 234?,650
addition,773,167,What is 773 plus 167?,940
bitwise_xor,555,274,What is 555 XOR 274?,825
bitwise_xor,495,376,What is 495 XOR 376?,151
bitwise_and,240,204,What is 240 AND 204?,192
bitwise_and,28,545,What is 28 AND 545?,0
bitwise_and,629,640,What is 629 AND 640?,512
modulo,791,255,What is 791 mod 255?,26
bitwise_xor,133,281,What is 133 XOR 281?,412
division,656,237,What is 656 // 237?,2
bitwise_xor,805,804,What is 805 XOR 804?,1
bitwise_and,477,372,What is 477 AND 372?,340
modulo,544,150,What is 544 mod 150?,94
bitwise_or,672,189,What is 672 OR 189?,701
lcm,145,936,What is the LCM of 145 and 936 mod 1000?,720
bitwise_or,468,115,What is 468 OR 115?,503
lcm,192,844,What is the LCM of 192 and 844 mod 1000?,512
lcm,200,621,What is the LCM of 200 and 621 mod 1000?,200
square_mod,371,196,What is 371^2 mod 196?,49
square_mod,674,129,What is 674^2 mod 129?,67
bitwise_xor,439,691,What is 439 XOR 691?,772
division,484,470,What is 484 // 470?,1
multiplication,338,51,What is 338 times 51 mod 1000?,238
modulo,516,401,What is 516 mod 401?,115
square_mod,546,262,What is 546^2 mod 262?,222
gcd,852,555,What is the GCD of 852 and 555?,3
division,678,469,What is 678 // 469?,1
multiplication,962,931,What is 962 times 931 mod 1000?,622
bitwise_and,107,100,What is 107 AND 100?,96
addition,137,451,What is 137 plus 451?,588
square_mod,656,53,What is 656^2 mod 53?,29
bitwise_or,610,894,What is 610 OR 894?,894
multiplication,967,992,What is 967 times 992 mod 1000?,264
multiplication,513,996,What is 513 times 996 mod 1000?,948
gcd,187,721,What is the GCD of 187 and 721?,1
division,873,460,What is 873 // 460?,1
square_mod,673,448,What is 673^2 mod 448?,1
modulo,669,653,What is 669 mod 653?,16
bitwise_and,94,8,What is 94 AND 8?,8
gcd,982,157,What is the GCD of 982 and 157?,1
multiplication,874,606,What is 874 times 606 mod 1000?,644
bitwise_and,206,601,What is 206 AND 601?,72
bitwise_and,270,74,What is 270 AND 74?,10
square_mod,594,382,What is 594^2 mod 382?,250
square_mod,298,13,What is 298^2 mod 13?,1
division,919,854,What is 919 // 854?,1
modulo,145,118,What is 145 mod 118?,27
bitwise_or,919,270,What is 919 OR 270?,927
multiplication,734,339,What is 734 times 339 mod 1000?,826
division,910,385,What is 910 // 385?,2
addition,360,157,What is 360 plus 157?,517
gcd,501,102,What is the GCD of 501 and 102?,3
modulo,778,189,What is 778 mod 189?,22
addition,23,717,What is 23 plus 717?,740
gcd,274,768,What is the GCD of 274 and 768?,2
bitwise_or,114,839,What is 114 OR 839?,887
bitwise_or,848,563,What is 848 OR 563?,883
division,524,497,What is 524 // 497?,1
multiplication,992,518,What is 992 times 518 mod 1000?,856
bitwise_xor,687,220,What is 687 XOR 220?,627
modulo,626,622,What is 626 mod 622?,4
multiplication,155,445,What is 155 times 445 mod 1000?,975
multiplication,810,415,What is 810 times 415 mod 1000?,150
square_mod,451,41,What is 451^2 mod 41?,0
bitwise_xor,716,100,What is 716 XOR 100?,680
gcd,412,201,What is the GCD of 412 and 201?,1
bitwise_and,641,16,What is 641 AND 16?,0
gcd,677,98,What is the GCD of 677 and 98?,1
addition,420,885,What is 420 plus 885?,1305
gcd,751,230,What is the GCD of 751 and 230?,1
bitwise_and,788,408,What is 788 AND 408?,272
gcd,856,342,What is the GCD of 856 and 342?,2
lcm,452,786,What is the LCM of 452 and 786 mod 1000?,636
bitwise_xor,834,446,What is 834 XOR 446?,764
gcd,794,729,What is the GCD of 794 and 729?,1
gcd,622,778,What is the GCD of 622 and 778?,2
modulo,611,532,What is 611 mod 532?,79
addition,750,409,What is 750 plus 409?,1159
square_mod,836,791,What is 836^2 mod 791?,443
division,882,789,What is 882 // 789?,1
gcd,830,549,What is the GCD of 830 and 549?,1
multiplication,516,528,What is 516 times 528 mod 1000?,448
addition,890,87,What is 890 plus 87?,977
bitwise_and,160,355,What is 160 AND 355?,32
division,357,205,What is 357 // 205?,1
bitwise_xor,297,848,What is 297 XOR 848?,633
bitwise_and,650,573,What is 650 AND 573?,520
bitwise_or,870,923,What is 870 OR 923?,1023
gcd,88,16,What is the GCD of 88 and 16?,8
modulo,91,17,What is 91 mod 17?,6
bitwise_xor,690,949,What is 690 XOR 949?,263
division,858,809,What is 858 // 809?,1
bitwise_and,329,518,What is 329 AND 518?,0
bitwise_or,220,602,What is 220 OR 602?,734
square_mod,309,18,What is 309^2 mod 18?,9
gcd,133,250,What is the GCD of 133 and 250?,1
square_mod,974,717,What is 974^2 mod 717?,85
bitwise_or,632,56,What is 632 OR 56?,632
bitwise_and,46,900,What is 46 AND 900?,4
bitwise_or,208,188,What is 208 OR 188?,252
bitwise_and,421,238,What is 421 AND 238?,164
lcm,402,109,What is the LCM of 402 and 109 mod 1000?,818
gcd,990,412,What is the GCD of 990 and 412?,2
bitwise_xor,825,69,What is 825 XOR 69?,892
lcm,383,733,What is the LCM of 383 and 733 mod 1000?,739
addition,112,164,What is 112 plus 164?,276
bitwise_xor,516,927,What is 516 XOR 927?,411
gcd,192,352,What is the GCD of 192 and 352?,32
square_mod,266,252,What is 266^2 mod 252?,196
gcd,730,21,What is the GCD of 730 and 21?,1
addition,473,397,What is 473 plus 397?,870
multiplication,526,333,What is 526 times 333 mod 1000?,158
square_mod,624,555,What is 624^2 mod 555?,321
bitwise_and,468,234,What is 468 AND 234?,192
square_mod,848,187,What is 848^2 mod 187?,89
modulo,110,64,What is 110 mod 64?,46
lcm,102,693,What is the LCM of 102 and 693 mod 1000?,562
modulo,285,93,What is 285 mod 93?,6
bitwise_or,757,13,What is 757 OR 13?,765
bitwise_xor,390,502,What is 390 XOR 502?,112
bitwise_or,555,296,What is 555 OR 296?,811
addition,97,910,What is 97 plus 910?,1007
multiplication,501,336,What is 501 times 336 mod 1000?,336
bitwise_and,873,259,What is 873 AND 259?,257
bitwise_xor,253,580,What is 253 XOR 580?,697
division,910,246,What is 910 // 246?,3
multiplication,134,620,What is 134 times 620 mod 1000?,80
bitwise_xor,885,141,What is 885 XOR 141?,1016
division,442,219,What is 442 // 219?,2
bitwise_xor,540,681,What is 540 XOR 681?,181
bitwise_or,211,939,What is 211 OR 939?,1019
bitwise_xor,519,387,What is 519 XOR 387?,900
bitwise_and,460,941,What is 460 AND 941?,396
gcd,21,22,What is the GCD of 21 and 22?,1
modulo,910,420,What is 910 mod 420?,70
bitwise_xor,692,388,What is 692 XOR 388?,816
bitwise_or,267,80,What is 267 OR 80?,347
gcd,791,336,What is the GCD of 791 and 336?,7
bitwise_or,325,455,What is 325 OR 455?,455
division,533,484,What is 533 // 484?,1
division,362,316,What is 362 // 316?,1
addition,352,889,What is 352 plus 889?,1241
gcd,133,763,What is the GCD of 133 and 763?,7
bitwise_or,135,574,What is 135 OR 574?,703
division,852,709,What is 852 // 709?,1
addition,483,856,What is 483 plus 856?,1339
bitwise_and,523,942,What is 523 AND 942?,522
multiplication,107,587,What is 107 times 587 mod 1000?,809
multiplication,968,149,What is 968 times 149 mod 1000?,232
modulo,419,55,What is 419 mod 55?,34
division,465,180,What is 465 // 180?,2
modulo,655,531,What is 655 mod 531?,124
bitwise_xor,999,96,What is 999 XOR 96?,903
addition,16,624,What is 16 plus 624?,640
gcd,44,930,What is the GCD of 44 and 930?,2
modulo,801,378,What is 801 mod 378?,45
lcm,619,240,What is the LCM of 619 and 240 mod 1000?,560
bitwise_or,374,741,What is 374 OR 741?,1015
square_mod,887,741,What is 887^2 mod 741?,568
bitwise_or,79,266,What is 79 OR 266?,335
bitwise_and,703,366,What is 703 AND 366?,46
addition,30,12,What is 30 plus 12?,42
modulo,381,4,What is 381 mod 4?,1
addition,391,456,What is 391 plus 456?,847
bitwise_or,903,883,What is 903 OR 883?,1015
bitwise_or,976,204,What is 976 OR 204?,988
modulo,939,179,What is 939 mod 179?,44
addition,205,275,What is 205 plus 275?,480
bitwise_xor,805,214,What is 805 XOR 214?,1011
modulo,698,598,What is 698 mod 598?,100
square_mod,220,128,What is 220^2 mod 128?,16
addition,442,190,What is 442 plus 190?,632
square_mod,314,72,What is 314^2 mod 72?,28
modulo,370,319,What is 370 mod 319?,51
square_mod,471,311,What is 471^2 mod 311?,98
addition,452,916,What is 452 plus 916?,1368
bitwise_or,996,206,What is 996 OR 206?,1006
bitwise_xor,963,104,What is 963 XOR 104?,939
division,963,551,What is 963 // 551?,1
lcm,360,995,What is the LCM of 360 and 995 mod 1000?,640
bitwise_or,357,590,What is 357 OR 590?,879
bitwise_and,711,219,What is 711 AND 219?,195
multiplication,889,159,What is 889 times 159 mod 1000?,351
bitwise_and,897,580,What is 897 AND 580?,512
division,809,68,What is 809 // 68?,11
bitwise_xor,213,399,What is 213 XOR 399?,346
bitwise_and,943,367,What is 943 AND 367?,303
square_mod,326,288,What is 326^2 mod 288?,4
multiplication,658,583,What is 658 times 583 mod 1000?,614
bitwise_or,284,387,What is 284 OR 387?,415
bitwise_and,41,16,What is 41 AND 16?,0
multiplication,586,947,What is 586 times 947 mod 1000?,942
bitwise_or,493,343,What is 493 OR 343?,511
bitwise_or,444,284,What is 444 OR 284?,444
addition,76,442,What is 76 plus 442?,518
square_mod,396,329,What is 396^2 mod 329?,212
lcm,276,279,What is the LCM of 276 and 279 mod 1000?,668
bitwise_and,571,816,What is 571 AND 816?,560
bitwise_and,3,365,What is 3 AND 365?,1
addition,16,89,What is 16 plus 89?,105
addition,965,519,What is 965 plus 519?,1484
addition,429,520,What is 429 plus 520?,949
bitwise_xor,423,135,What is 423 XOR 135?,288
multiplication,888,804,What is 888 times 804 mod 1000?,952
bitwise_xor,30,260,What is 30 XOR 260?,282
lcm,520,183,What is the LCM of 520 and 183 mod 1000?,160
lcm,181,281,What is the LCM of 181 and 281 mod 1000?,861
bitwise_or,396,293,What is 396 OR 293?,429
bitwise_or,997,194,What is 997 OR 194?,999
division,907,150,What is 907 // 150?,6
bitwise_xor,528,359,What is 528 XOR 359?,887
bitwise_and,870,863,What is 870 AND 863?,838
bitwise_xor,361,250,What is 361 XOR 250?,403
addition,92,468,What is 92 plus 468?,560
multiplication,93,931,What is 93 times 931 mod 1000?,583
division,263,139,What is 263 // 139?,1
bitwise_xor,36,467,What is 36 XOR 467?,503
addition,641,286,What is 641 plus 286?,927
square_mod,683,597,What is 683^2 mod 597?,232
division,996,103,What is 996 // 103?,9
modulo,621,607,What is 621 mod 607?,14
addition,437,621,What is 437 plus 621?,1058
bitwise_and,873,922,What is 873 AND 922?,776
square_mod,960,641,What is 960^2 mod 641?,483
multiplication,497,717,What is 497 times 717 mod 1000?,349
bitwise_and,866,947,What is 866 AND 947?,802
multiplication,65,480,What is 65 times 480 mod 1000?,200
addition,239,124,What is 239 plus 124?,363
bitwise_xor,558,463,What is 558 XOR 463?,993
lcm,144,542,What is the LCM of 144 and 542 mod 1000?,24
modulo,898,357,What is 898 mod 357?,184
multiplication,399,379,What is 399 times 379 mod 1000?,221
modulo,938,114,What is 938 mod 114?,26
lcm,352,142,What is the LCM of 352 and 142 mod 1000?,992
lcm,92,258,What is the LCM of 92 and 258 mod 1000?,868
modulo,764,745,What is 764 mod 745?,19
gcd,65,387,What is the GCD of 65 and 387?,1
bitwise_and,720,368,What is 720 AND 368?,80
gcd,404,659,What is the GCD of 404 and 659?,1
bitwise_xor,174,622,What is 174 XOR 622?,704
square_mod,865,468,What is 865^2 mod 468?,361
bitwise_xor,346,555,What is 346 XOR 555?,881
square_mod,991,389,What is 991^2 mod 389?,245
modulo,422,144,What is 422 mod 144?,134
modulo,858,384,What is 858 mod 384?,90
division,293,222,What is 293 // 222?,1
bitwise_and,411,456,What is 411 AND 456?,392
bitwise_and,90,162,What is 90 AND 162?,2
bitwise_and,214,408,What is 214 AND 408?,144
multiplication,35,664,What is 35 times 664 mod 1000?,240
bitwise_and,537,916,What is 537 AND 916?,528
gcd,878,398,What is the GCD of 878 and 398?,2
bitwise_and,935,799,What is 935 AND 799?,775
bitwise_or,247,777,What is 247 OR 777?,1023
modulo,390,126,What is 390 mod 126?,12
bitwise_or,572,862,What is 572 OR 862?,894
bitwise_and,596,956,What is 596 AND 956?,532
gcd,684,680,What is the GCD of 684 and 680?,4
bitwise_and,202,612,What is 202 AND 612?,64
square_mod,354,22,What is 354^2 mod 22?,4
modulo,196,188,What is 196 mod 188?,8
multiplication,173,841,What is 173 times 841 mod 1000?,493
division,135,129,What is 135 // 129?,1
lcm,531,266,What is the LCM of 531 and 266 mod 1000?,246
multiplication,467,759,What is 467 times 759 mod 1000?,453
bitwise_and,570,64,What is 570 AND 64?,0
division,253,107,What is 253 // 107?,2
bitwise_or,804,13,What is 804 OR 13?,813
bitwise_and,396,659,What is 396 AND 659?,128
gcd,187,965,What is the GCD of 187 and 965?,1
lcm,487,370,What is the LCM of 487 and 370 mod 1000?,190
bitwise_xor,208,919,What is 208 XOR 919?,839
bitwise_and,734,897,What is 734 AND 897?,640
bitwise_or,689,291,What is 689 OR 291?,947
bitwise_and,670,595,What is 670 AND 595?,530
bitwise_or,78,801,What is 78 OR 801?,879
bitwise_xor,17,580,What is 17 XOR 580?,597
bitwise_and,54,152,What is 54 AND 152?,16
square_mod,976,373,What is 976^2 mod 373?,307
addition,46,854,What is 46 plus 854?,900
gcd,861,439,What is the GCD of 861 and 439?,1
addition,559,866,What is 559 plus 866?,1425
gcd,272,519,What is the GCD of 272 and 519?,1
square_mod,421,327,What is 421^2 mod 327?,7
square_mod,475,320,What is 475^2 mod 320?,25
bitwise_or,87,614,What is 87 OR 614?,631
lcm,899,369,What is the LCM of 899 and 369 mod 1000?,731
bitwise_or,15,946,What is 15 OR 946?,959
lcm,770,666,What is the LCM of 770 and 666 mod 1000?,410
lcm,679,846,What is the LCM of 679 and 846 mod 1000?,434
bitwise_or,141,912,What is 141 OR 912?,925
multiplication,987,548,What is 987 times 548 mod 1000?,876
addition,139,213,What is 139 plus 213?,352
addition,500,644,What is 500 plus 644?,1144
multiplication,336,194,What is 336 times 194 mod 1000?,184
addition,110,444,What is 110 plus 444?,554
addition,359,560,What is 359 plus 560?,919
bitwise_xor,441,351,What is 441 XOR 351?,230
bitwise_and,751,17,What is 751 AND 17?,1
division,398,198,What is 398 // 198?,2
addition,400,123,What is 400 plus 123?,523
lcm,926,24,What is the LCM of 926 and 24 mod 1000?,112
addition,439,91,What is 439 plus 91?,530
modulo,432,211,What is 432 mod 211?,10
modulo,967,181,What is 967 mod 181?,62
multiplication,219,284,What is 219 times 284 mod 1000?,196
lcm,457,439,What is the LCM of 457 and 439 mod 1000?,623
gcd,516,163,What is the GCD of 516 and 163?,1
modulo,539,207,What is 539 mod 207?,125
bitwise_and,468,864,What is 468 AND 864?,320
modulo,930,608,What is 930 mod 608?,322
division,789,156,What is 789 // 156?,5
lcm,68,663,What is the LCM of 68 and 663 mod 1000?,652
modulo,166,121,What is 166 mod 121?,45
multiplication,220,228,What is 220 times 228 mod 1000?,160
division,876,574,What is 876 // 574?,1
bitwise_xor,413,894,What is 413 XOR 894?,739
bitwise_xor,123,218,What is 123 XOR 218?,161
bitwise_and,492,470,What is 492 AND 470?,452
bitwise_and,93,491,What is 93 AND 491?,73
gcd,926,801,What is the GCD of 926 and 801?,1
square_mod,287,245,What is 287^2 mod 245?,49
bitwise_and,837,35,What is 837 AND 35?,1
modulo,863,128,What is 863 mod 128?,95
square_mod,925,23,What is 925^2 mod 23?,2
multiplication,551,960,What is 551 times 960 mod 1000?,960
bitwise_or,599,395,What is 599 OR 395?,991
division,171,2,What is 171 // 2?,85
bitwise_xor,160,380,What is 160 XOR 380?,476
multiplication,221,557,What is 221 times 557 mod 1000?,97
gcd,38,899,What is the GCD of 38 and 899?,1
division,962,839,What is 962 // 839?,1
addition,35,902,What is 35 plus 902?,937
gcd,823,750,What is the GCD of 823 and 750?,1
division,822,518,What is 822 // 518?,1
square_mod,562,257,What is 562^2 mod 257?,248
modulo,679,120,What is 679 mod 120?,79
bitwise_xor,464,898,What is 464 XOR 898?,594
multiplication,56,633,What is 56 times 633 mod 1000?,448
multiplication,690,281,What is 690 times 281 mod 1000?,890
addition,946,478,What is 946 plus 478?,1424
division,798,122,What is 798 // 122?,6
modulo,260,254,What is 260 mod 254?,6
modulo,510,233,What is 510 mod 233?,44
addition,627,747,What is 627 plus 747?,1374
division,994,460,What is 994 // 460?,2
division,215,98,What is 215 // 98?,2
addition,182,343,What is 182 plus 343?,525
modulo,604,165,What is 604 mod 165?,109
bitwise_xor,944,966,What is 944 XOR 966?,118
bitwise_and,895,505,What is 895 AND 505?,377
division,542,40,What is 542 // 40?,13
addition,224,640,What is 224 plus 640?,864
bitwise_or,340,761,What is 340 OR 761?,1021
lcm,656,907,What is the LCM of 656 and 907 mod 1000?,992
bitwise_xor,202,752,What is 202 XOR 752?,570
gcd,118,53,What is the GCD of 118 and 53?,1
gcd,695,486,What is the GCD of 695 and 486?,1
bitwise_or,176,619,What is 176 OR 619?,763
square_mod,667,665,What is 667^2 mod 665?,4
lcm,318,934,What is the LCM of 318 and 934 mod 1000?,506
bitwise_or,695,742,What is 695 OR 742?,759
bitwise_and,256,77,What is 256 AND 77?,0
multiplication,690,45,What is 690 times 45 mod 1000?,50
modulo,757,75,What is 757 mod 75?,7
division,811,66,What is 811 // 66?,12
bitwise_and,459,489,What is 459 AND 489?,457
modulo,542,20,What is 542 mod 20?,2
gcd,361,448,What is the GCD of 361 and 448?,1
bitwise_and,406,374,What is 406 AND 374?,278
division,311,197,What is 311 // 197?,1
lcm,153,36,What is the LCM of 153 and 36 mod 1000?,612
square_mod,972,361,What is 972^2 mod 361?,47
addition,514,330,What is 514 plus 330?,844
bitwise_xor,671,435,What is 671 XOR 435?,812
addition,886,860,What is 886 plus 860?,1746
division,814,309,What is 814 // 309?,2
division,934,781,What is 934 // 781?,1
bitwise_and,728,680,What is 728 AND 680?,648
bitwise_and,572,302,What is 572 AND 302?,44
division,896,420,What is 896 // 420?,2
lcm,947,315,What is the LCM of 947 and 315 mod 1000?,305
bitwise_or,718,363,What is 718 OR 363?,1007
gcd,693,674,What is the GCD of 693 and 674?,1
multiplication,288,793,What is 288 times 793 mod 1000?,384
bitwise_xor,481,752,What is 481 XOR 752?,785
bitwise_and,703,199,What is 703 AND 199?,135
gcd,185,920,What is the GCD of 185 and 920?,5
addition,820,645,What is 820 plus 645?,1465
addition,416,680,What is 416 plus 680?,1096
modulo,997,22,What is 997 mod 22?,7
gcd,661,474,What is the GCD of 661 and 474?,1
gcd,70,174,What is the GCD of 70 and 174?,2
bitwise_xor,362,270,What is 362 XOR 270?,100
bitwise_and,464,233,What is 464 AND 233?,192
square_mod,874,391,What is 874^2 mod 391?,253
modulo,517,299,What is 517 mod 299?,218
square_mod,545,246,What is 545^2 mod 246?,103
multiplication,555,233,What is 555 times 233 mod 1000?,315
bitwise_or,132,751,What is 132 OR 751?,751
addition,33,937,What is 33 plus 937?,970
division,578,288,What is 578 // 288?,2
bitwise_xor,428,16,What is 428 XOR 16?,444
bitwise_and,888,454,What is 888 AND 454?,320
multiplication,402,61,What is 402 times 61 mod 1000?,522
bitwise_xor,974,969,What is 974 XOR 969?,7
lcm,287,370,What is the LCM of 287 and 370 mod 1000?,190
gcd,932,967,What is the GCD of 932 and 967?,1
lcm,512,43,What is the LCM of 512 and 43 mod 1000?,16
bitwise_and,56,244,What is 56 AND 244?,48
modulo,682,416,What is 682 mod 416?,266
gcd,831,769,What is the GCD of 831 and 769?,1
bitwise_xor,320,373,What is 320 XOR 373?,53
lcm,780,365,What is the LCM of 780 and 365 mod 1000?,940
addition,250,255,What is 250 plus 255?,505
bitwise_or,684,188,What is 684 OR 188?,700
bitwise_and,543,783,What is 543 AND 783?,527
bitwise_and,583,918,What is 583 AND 918?,518
square_mod,915,801,What is 915^2 mod 801?,180
division,214,31,What is 214 // 31?,6
bitwise_or,179,948,What is 179 OR 948?,951
bitwise_and,374,283,What is 374 AND 283?,274
lcm,748,773,What is the LCM of 748 and 773 mod 1000?,204
division,790,781,What is 790 // 781?,1
division,984,597,What is 984 // 597?,1
square_mod,948,711,What is 948^2 mod 711?,0
division,696,371,What is 696 // 371?,1
modulo,857,795,What is 857 mod 795?,62
lcm,687,409,What is the LCM of 687 and 409 mod 1000?,983
bitwise_and,588,609,What is 588 AND 609?,576
multiplication,665,767,What is 665 times 767 mod 1000?,55
square_mod,97,50,What is 97^2 mod 50?,9
gcd,667,797,What is the GCD of 667 and 797?,1
addition,121,302,What is 121 plus 302?,423
bitwise_and,716,126,What is 716 AND 126?,76
division,699,467,What is 699 // 467?,1
division,853,427,What is 853 // 427?,1
multiplication,26,279,What is 26 times 279 mod 1000?,254
bitwise_or,481,697,What is 481 OR 697?,1017
square_mod,592,33,What is 592^2 mod 33?,4
division,485,15,What is 485 // 15?,32
bitwise_or,874,572,What is 874 OR 572?,894
modulo,642,476,What is 642 mod 476?,166
bitwise_or,456,204,What is 456 OR 204?,460
gcd,225,680,What is the GCD of 225 and 680?,5
division,699,356,What is 699 // 356?,1
division,826,557,What is 826 // 557?,1
division,736,631,What is 736 // 631?,1
addition,383,366,What is 383 plus 366?,749
modulo,714,269,What is 714 mod 269?,176
lcm,866,478,What is the LCM of 866 and 478 mod 1000?,974
multiplication,68,531,What is 68 times 531 mod 1000?,108
bitwise_and,544,434,What is 544 AND 434?,32
bitwise_or,628,711,What is 628 OR 711?,759
bitwise_xor,629,895,What is 629 XOR 895?,266
bitwise_and,161,103,What is 161 AND 103?,33
division,777,776,What is 777 // 776?,1
gcd,99,944,What is the GCD of 99 and 944?,1
bitwise_or,217,429,What is 217 OR 429?,509
division,385,115,What is 385 // 115?,3
multiplication,446,337,What is 446 times 337 mod 1000?,302
